"ACTIVE__C","CODE__C","APTS_DEFAULT_UNIQUE_IDENTIFIER__C","MARKET__C","PRODUCT__C","PROGRAM__C"
"true","ASU","Asuncion_WWA_ASU_APP","WWA","APP",""
"true","NYC","New York_USB_NYC_APP","USB","APP",""
"true","BOS","Boston_USB_BOS_APP","USB","APP",""
"true","PHL","Philadelphia_USB_PHL_APP","USB","APP",""
"true","ORD","Chicago_USB_ORD_APP","USB","APP",""
"true","MCO","Orlando_USB_MCO_APP","USB","APP",""
"true","MIA","Miami_USB_MIA_APP","USB","APP",""
"true","JAX","Jacksonville,_USB_JAX_APP","USB","APP",""
"true","LAX","Los Angeles_USB_LAX_APP","USB","APP",""
"true","SBA","Santa Barbara_USB_SBA_APP","USB","APP",""
"true","SFO","San Francisco_USB_SFO_APP","USB","APP",""
"true","SEA","Seattle_USB_SEA_APP","USB","APP",""
"true","PAR","Paris_FRP_PAR_ILS","FRP","ILS",""
"true","BRU","Brussels_FRP_BRU_ILS","FRP","ILS",""
"true","FRA","Frankfurt_FRP_FRA_ILS","FRP","ILS",""
"true","GVA","Geneva_FRP_GVA_ILS","FRP","ILS",""
"true","LYS","Lyon_FRP_LYS_ILS","FRP","ILS",""
"true","MRS","Marseille_FRP_MRS_ILS","FRP","ILS",""
"true","NCE","Nice_FRP_NCE_ILS","FRP","ILS",""
"true","TLS","Toulouse_FRP_TLS_ILS","FRP","ILS",""
"true","BER","Berlin_DEB_BER_ILS","DEB","ILS",""
"true","DUS","Dusseldorf_DEB_DUS_ILS","DEB","ILS",""
"true","FRA","Frankfurt_DEB_FRA_ILS","DEB","ILS",""
"true","HAJ","Hanover_DEB_HAJ_ILS","DEB","ILS",""
"true","HAM","Hamburg_DEB_HAM_ILS","DEB","ILS",""
"true","MUC","Munich_DEB_MUC_ILS","DEB","ILS",""
"true","STR","Stuttgart_DEB_STR_ILS","DEB","ILS",""
"true","BOD","Bordeaux_FRP_BOD_ILS","FRP","ILS",""
"true","SXB","Strasbourg_FRP_SXB_ILS","FRP","ILS",""
"true","TLS","Toulouse_FRP_TLS_APP","FRP","APP",""
"true","PAR","Paris_FRP_PAR_APP","FRP","APP",""
"true","NCY","Annecy_FRP_NCY_APP","FRP","APP",""
"true","CGN","Cologne_DEB_CGN_APP","DEB","APP",""
"true","DRS","Dresden_DEB_DRS_APP","DEB","APP",""
"true","DUS","Dusseldorf_DEB_DUS_APP","DEB","APP",""
"true","FRA","Frankfurt_DEB_FRA_APP","DEB","APP",""
"true","MUC","Munich_DEB_MUC_APP","DEB","APP",""
"true","LEJ","Leipzig_DEB_LEJ_APP","DEB","APP",""
"true","HAM","Hamburg_DEB_HAM_APP","DEB","APP",""
"true","HAJ","Hanover_DEB_HAJ_APP","DEB","APP",""
"true","BER","Berlin_DEB_BER_APP","DEB","APP",""
"true","STR","Stuttgart_DEB_STR_APP","DEB","APP",""
"true","OSL","Oslo_NOO_OSL_APP","NOO","APP",""
"true","BGO","Bergen_NOO_BGO_APP","NOO","APP",""
"true","OSL","Oslo_NOO_OSL_ILS","NOO","ILS",""
"true","OSL","Oslo_NOO_OSL_LSP","NOO","LSP",""
"true","BGO","Bergen_NOO_BGO_ILS","NOO","ILS",""
"true","BGO","Bergen_NOO_BGO_LSP","NOO","LSP",""
"true","OSL","Oslo_NOO_OSL_LT","NOO","LT","LT"
"true","BIQ","Biarritz_FRP_BIQ_APP","FRP","APP",""
"true","AJA","Ajaccio_FRP_AJA_APP","FRP","APP",""
"true","NCE","Nice_FRP_NCE_APP","FRP","APP",""
"true","FRA","Frankfurt_FRP_FRA_APP","FRP","APP",""
"true","GVA","Geneva_FRP_GVA_APP","FRP","APP",""
"true","BRU","Brussels_FRP_BRU_APP","FRP","APP",""
"true","NTE","Nantes_FRP_NTE_APP","FRP","APP",""
"true","XPG","Paris Railway_FRP_XPG_APP","FRP","APP",""
"true","MRS","Marseille_FRP_MRS_APP","FRP","APP",""
"true","BOD","Bordeaux_FRP_BOD_APP","FRP","APP",""
"true","BIA","Bastia_FRP_BIA_APP","FRP","APP",""
"true","LYS","Lyon_FRP_LYS_APP","FRP","APP",""
"true","SXB","Strasbourg_FRP_SXB_APP","FRP","APP",""
"true","MLH","Mulhouse_FRP_MLH_APP","FRP","APP",""
"true","KRS","Kristiansand_NOO_KRS_LT","NOO","LT","LT"
"false","TRF","Torp_NOO_TRF_LT","NOO","LT","LT"
"true","HAR","Harstad_NOO_HAR_LT","NOO","LT","LT"
"false","ALF","Alta_NOO_ALF_LT","NOO","LT","LT"
"true","BGO","Bergen_NOO_BGO_LT","NOO","LT","LT"
"true","MOL","Molda_NOO_MOL_LT","NOO","LT","LT"
"true","AES","Alesund_NOO_AES_LT","NOO","LT","LT"
"true","SVG","Stavanger_NOO_SVG_LT","NOO","LT","LT"
"false","EVE","Evenes_NOO_EVE_LT","NOO","LT","LT"
"true","HAU","Hausegund_NOO_HAU_LT","NOO","LT","LT"
"true","TOS","Tromso_NOO_TOS_LT","NOO","LT","LT"
"true","TRD","Trondheim_NOO_TRD_LT","NOO","LT","LT"
"true","BOO","Bodo_NOO_BOO_LT","NOO","LT","LT"
