"APTTUS_CONFIG2__ICONSIZE__C","APTS_EXT_ID__C","AVAILABLE_PROGRAMS__C","APTS_AY_COURSE_TYPE__C","APTTUS_CONFIG2__BUNDLEINVOICELEVEL__C","APTTUS_CONFIG2__CONFIGURATIONTYPE__C","APTS_COURSEPRICING__C","APTS_DESTINATION_LOCATION__C","APTTUS_CONFIG2__DISCONTINUEDDATE__C","APTTUS_CONFIG2__EFFECTIVEDATE__C","APTTUS_CONFIG2__EFFECTIVESTARTDATE__C","ENABLESTARTDATEENDDATE__C","APTTUS_CONFIG2__EXCLUDEFROMSITEMAP__C","APTTUS_CONFIG2__EXPIRATIONDATE__C","APTTUS_CONFIG2__HASATTRIBUTES__C","APTTUS_CONFIG2__HASDEFAULTS__C","APTTUS_CONFIG2__HASOPTIONS__C","APTTUS_CONFIG2__HASSEARCHATTRIBUTES__C","APTTUS_CONFIG2__ICON__C","APTTUS_CONFIG2__ICONID__C","APTS_IS_OPTIONAL__C","APTTUS_CONFIG2__LAUNCHDATE__C","APTTUS_CONFIG2__CUSTOMIZABLE__C","APTS_PRICEOVERRIDEALLOWED__C","PRODUCTSUBTYPE__C","APTTUS_CONFIG2__PRODUCTTYPE__C","QUNATITYMODIFIABLE__C","APTS_TI_PRICING__C","APTTUS_CONFIG2__UOM__C","APTTUS_CONFIG2__VERSION__C"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l4nn"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l4nO"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l4nT"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l4nd"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l1R0"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Arrival and Departure","Travel","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l1RA"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l4nY"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l4ni"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l1R5"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001l1R6"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Optional Excursions","Other","true","false","Each","1.0"
"","","","","","Bundle","false","Northern Hemisphere","","","","true","false","","true","false","true","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTbz"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","true","false","","Destination","false","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc0"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence","Accommodation","true","false","Day","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc1"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence Extra Night","Accommodation","true","false","Day","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc2"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Sports Options","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","false","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc3"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Sports Options","Other","true","false","Each","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc4"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence","Accommodation","true","false","Day","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc5"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence Extra Night","Accommodation","true","false","Day","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc6"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence","Accommodation","true","false","Day","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc7"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence Extra Night","Accommodation","true","false","Day","1.0"
"","","","","","Option","false","","","","","true","false","","true","false","false","false","<a href=""/apex/Apttus_Config2__IconUploader?productId=01t6E000001kTc8"" target=""_top""><img src=""/resource/Apttus_Config2__Image_UploadIcon"" alt=""Upload Icon"" style=""height:50px; width:50px;"" border=""0""/></a>","","false","","false","false","Residence","Accommodation","true","false","Week","1.0"
