NAME,STREET__C,CITY__C,DOB__C,DECISION__C,FIRSTNAME__C,HASBOOKING__C,LASTNAME__C,MOBILEPHONE__C,OTHERPHONE__C,PHONE__C,POSTALCODE__C,REGION__C,EMAIL2__C,EMAIL__C,TRITONID__C
Rule39,TRUE,TRUE,TRUE,Merge,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule1,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule2,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
Rule3,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Rule4,FALSE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule6,TRUE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule7,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
Rule8,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
Rule9,TRUE,TRUE,FALSE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
Rule10,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule11,TRUE,TRUE,TRUE,Merge,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule12,FALSE,FALSE,TRUE,Merge,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
Rule13,TRUE,TRUE,FALSE,Create a new Lead/Opportunity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Rule14,TRUE,TRUE,TRUE,Create a new Lead/Opportunity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Rule15,TRUE,TRUE,FALSE,Create a new Lead/Opportunity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Rule17,TRUE,FALSE,TRUE,Merge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule18,TRUE,FALSE,TRUE,Create a new Lead/Opportunity,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule19,TRUE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule20,FALSE,FALSE,TRUE,Merge,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule21,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Rule22,TRUE,FALSE,FALSE,Create a new Lead/Opportunity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
Rule25,FALSE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
Rule26,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule28,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
Rule29,FALSE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Rule30,FALSE,FALSE,TRUE,Create a new Lead/Opportunity,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Rule31,FALSE,TRUE,TRUE,Merge,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
Rule32,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule33,FALSE,FALSE,FALSE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule34,TRUE,TRUE,FALSE,Create a new Lead/Opportunity,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Rule35,FALSE,FALSE,TRUE,Merge,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule36,TRUE,TRUE,FALSE,Create a new Lead/Opportunity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
Rule37,TRUE,FALSE,FALSE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Rule38,FALSE,FALSE,FALSE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rule40,FALSE,FALSE,FALSE,Create a new Lead/Opportunity,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule41,TRUE,TRUE,FALSE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule42,TRUE,TRUE,FALSE,Merge,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
Rule43,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Rule44,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
Rule45,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Rule46,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
Rule47,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
Rule48,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule49,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
Rule50,FALSE,TRUE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
Rule51,FALSE,FALSE,TRUE,Merge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
Rule52,FALSE,TRUE,TRUE,Merge,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Rule53,TRUE,TRUE,TRUE,Merge,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
Rule54,FALSE,TRUE,TRUE,Merge,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
